Profile_id,Layer,Horizon code,Start (cm),End (cm),Organic Matter (%),Clay (<2 mu) (%),Silt (2-50 mu) (%),Loam (=silt+clay) (%),Sand (>50mu) (%),Median of sand fraction (mu),pH-KCl,CEC (mmol/kg),Ca-exch (mmol/kg),K-exch (mmol/kg),kationen Na-uit (mmol/kg),kationen Mg-uit (mmol/kg),Total P (mg P2O5/kg),Carbon (%),Total N(%),Bulk density (g per cm3),Laboratory code,Org. matter method,pH method,CEC method,Ca Mg method,Na K method,Total P method,Carbon Method,Total N method,Texture method (m = measurement; s = hand estimate),Soil Classification code,Soil map legend code,X,Y,Year
277,3,1Cg2,45,80,0.4,17,55,72,28,80,7.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p315a,Mn,52100,363540,1961
277,4,1Cg3,80,100,0.8,23,68,91,10,95,7.3,-99,153,3,4,15,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p315a,Mn,52100,363540,1961
277,5,1Apgb1,100,120,0.4,11,26,37,63,115,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p315a,Mn,52100,363540,1961
277,6,1ACgb,120,140,0.4,16,35,51,49,100,7,-99,89,3,2,15,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p315a,Mn,52100,363540,1961
294,1,1Ap,0,30,2.1,22,61,83,17,70,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,,,,,,,,m,M5p235a,Mn,48910,366410,1967
294,2,1Cg1,30,45,0.6,16,64,80,20,70,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,,,,,,,,m,M5p235a,Mn,48910,366410,1967
294,3,1Cg2,45,68,0.9,20,74,94,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,,,,,,,,m,M5p235a,Mn,48910,366410,1967
294,4,1Cg3,68,80,1.1,23,73,96,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,,,,,,,,m,M5p235a,Mn,48910,366410,1967
294,5,1Ahgb,80,86,0.8,11,19,30,70,95,6.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,48910,366410,1967
294,6,1ACgb,86,100,0.6,10,19,29,71,95,7.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,48910,366410,1967
